sha,message,author,date,url,code_size
307a75396b1d9b21232c2d8d555d23c1a15062c5,"added initial swig wrapper

svn path=/trunk/matplotlib/; revision=986",jdh2358,03/01/2005 03:54:13 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/307a75396b1d9b21232c2d8d555d23c1a15062c5,7660570
dd81ec48d6e9cdc72dfe023a9edc6497a5f94aee,"SC 25/02/2005

svn path=/trunk/matplotlib/; revision=985",N/A,02/25/2005 03:25:20 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/dd81ec48d6e9cdc72dfe023a9edc6497a5f94aee,7359393
8761974eca5d69e2dbc9b02607c4d12d13cc35c0,"SC 24/02/2005

svn path=/trunk/matplotlib/; revision=984",N/A,02/24/2005 12:38:07 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/8761974eca5d69e2dbc9b02607c4d12d13cc35c0,7359050
60ef5973fc00a4977953fc5fc989d63b5254e799,"afm an option for ps text

svn path=/trunk/matplotlib/; revision=983",jdh2358,02/23/2005 09:48:16 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/60ef5973fc00a4977953fc5fc989d63b5254e799,7358451
62dae9de6d4385b9db1fbe3bdf3f523cb3d425c9,"afm an option for ps text

svn path=/trunk/matplotlib/; revision=982",jdh2358,02/23/2005 09:46:52 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/62dae9de6d4385b9db1fbe3bdf3f523cb3d425c9,7358450
87b8098b1c7123c81d598c91f3af9045b3c7fddd,"used seq proto in collection agg methods

svn path=/trunk/matplotlib/; revision=981",jdh2358,02/22/2005 06:46:18 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/87b8098b1c7123c81d598c91f3af9045b3c7fddd,7354962
9979d2b3d25c086fa6dc76276b602fef9ed0d0a3,"fixed ps color bug

svn path=/trunk/matplotlib/; revision=980",jdh2358,02/21/2005 02:35:44 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/9979d2b3d25c086fa6dc76276b602fef9ed0d0a3,7355224
9f1d8390c8729b48e6f224bbaf41bb3097990615,"fix call to set_status_bar() in FigureFrameWx: bug report from ajoj

svn path=/trunk/matplotlib/; revision=979",newville,02/21/2005 04:27:53 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/9f1d8390c8729b48e6f224bbaf41bb3097990615,7350204
4212b5949e2d3e7899f53e723a7ac8e698d762e5,"add .guiEvent attribute to mpl events to hold native GUI events

svn path=/trunk/matplotlib/; revision=978",newville,02/18/2005 02:54:22 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/4212b5949e2d3e7899f53e723a7ac8e698d762e5,7350200
89ae6cd3a96d3fa748c90062c9721569f2458739,"added traits null ui

svn path=/trunk/matplotlib/; revision=977",jdh2358,02/15/2005 03:54:19 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/89ae6cd3a96d3fa748c90062c9721569f2458739,7349688
e945059b327d42a99938b939a1be867fa023e7ba,"error handling cleanup

svn path=/trunk/matplotlib/; revision=976",jdh2358,02/15/2005 03:46:30 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/e945059b327d42a99938b939a1be867fa023e7ba,7141904
456f33b8d6ec09e154a8a2d388c5cd056d41fb6c,"added enthought traits

svn path=/trunk/matplotlib/; revision=975",jdh2358,02/14/2005 09:04:08 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/456f33b8d6ec09e154a8a2d388c5cd056d41fb6c,7153415
9522444f93265a7bf79e1ff79195b1634d1127bf,"0.72 release

svn path=/trunk/matplotlib/; revision=971",jdh2358,02/14/2005 06:41:21 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/9522444f93265a7bf79e1ff79195b1634d1127bf,6774274
b3c6ed2252c5fb3d528a7dc8a44ffe2e6aa0f42e,"added update fix

svn path=/trunk/matplotlib/; revision=970",jdh2358,02/14/2005 05:47:09 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/b3c6ed2252c5fb3d528a7dc8a44ffe2e6aa0f42e,6774223
2baf97f428aa146156e805b23cabc310aeef5c2b,"patched some mem leaks in new agg backend methods

svn path=/trunk/matplotlib/; revision=969",jdh2358,02/14/2005 04:56:20 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/2baf97f428aa146156e805b23cabc310aeef5c2b,6774081
fec122aeceeb932ea01d526cdc7d81b9d9f6a6a6,"patched some mem leaks in new agg backend methods

svn path=/trunk/matplotlib/; revision=968",jdh2358,02/14/2005 04:56:11 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/fec122aeceeb932ea01d526cdc7d81b9d9f6a6a6,6774112
28a43e39de1d5ae2234bde1e57c9c9e0685d7163,"fixed figlegend clipping bug

svn path=/trunk/matplotlib/; revision=967",jdh2358,02/14/2005 03:11:18 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/28a43e39de1d5ae2234bde1e57c9c9e0685d7163,6774124
2ee682bf17e0c6e503eac340cfe87dafe39ed6f6,"fixed figlegend clipping bug

svn path=/trunk/matplotlib/; revision=966",jdh2358,02/14/2005 03:01:39 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/2ee682bf17e0c6e503eac340cfe87dafe39ed6f6,6774133
1734236488e186533cc01f6bca72910a8dfa8bae,"SC 15/02/2005

svn path=/trunk/matplotlib/; revision=965",N/A,02/13/2005 11:38:06 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/1734236488e186533cc01f6bca72910a8dfa8bae,6773144
3e315fbf6c1f45f4fce611f16f6780717d04b20a,"added refactored qt backend

svn path=/trunk/matplotlib/; revision=964",jdh2358,02/13/2005 07:54:13 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/3e315fbf6c1f45f4fce611f16f6780717d04b20a,6773088
